*2026년 이후 예측정보는 추산 자료이므로 근거 자료로 사용 할 수 없습니다.,,,,,,,,,,,,,,,,,,,,
*해양조사와 해양정보 활용에 관한 법률 제 48조 1항 및 같은법 시행령 제20조 시행규칙 제 38조에 근거하여 본자료의 복제 또는 유사제작물 발행하고자 하는 경우 국립해양조사원에 승인 신청 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
시간,예측 조위,,,,,,,,,,,,,,,,,,,
2024-09-01 00:00,382,,,,,,,,,,,,,,,,,,,
2024-09-01 01:00,532,,,,,,,,,,,,,,,,,,,
2024-09-01 02:00,671,,,,,,,,,,,,,,,,,,,
2024-09-01 03:00,773,,,,,,,,,,,,,,,,,,,
2024-09-01 04:00,814,,,,,,,,,,,,,,,,,,,
2024-09-01 05:00,782,,,,,,,,,,,,,,,,,,,
2024-09-01 06:00,688,,,,,,,,,,,,,,,,,,,
2024-09-01 07:00,559,,,,,,,,,,,,,,,,,,,
2024-09-01 08:00,419,,,,,,,,,,,,,,,,,,,
2024-09-01 09:00,295,,,,,,,,,,,,,,,,,,,
2024-09-01 10:00,221,,,,,,,,,,,,,,,,,,,
2024-09-01 11:00,226,,,,,,,,,,,,,,,,,,,
2024-09-01 12:00,311,,,,,,,,,,,,,,,,,,,
2024-09-01 13:00,443,,,,,,,,,,,,,,,,,,,
2024-09-01 14:00,582,,,,,,,,,,,,,,,,,,,
2024-09-01 15:00,695,,,,,,,,,,,,,,,,,,,
2024-09-01 16:00,751,,,,,,,,,,,,,,,,,,,
2024-09-01 17:00,727,,,,,,,,,,,,,,,,,,,
2024-09-01 18:00,628,,,,,,,,,,,,,,,,,,,
2024-09-01 19:00,486,,,,,,,,,,,,,,,,,,,
2024-09-01 20:00,338,,,,,,,,,,,,,,,,,,,
2024-09-01 21:00,211,,,,,,,,,,,,,,,,,,,
2024-09-01 22:00,136,,,,,,,,,,,,,,,,,,,
2024-09-01 23:00,147,,,,,,,,,,,,,,,,,,,
2024-09-02 00:00,252,,,,,,,,,,,,,,,,,,,
2024-09-02 01:00,414,,,,,,,,,,,,,,,,,,,
2024-09-02 02:00,586,,,,,,,,,,,,,,,,,,,
2024-09-02 03:00,734,,,,,,,,,,,,,,,,,,,
2024-09-02 04:00,830,,,,,,,,,,,,,,,,,,,
2024-09-02 05:00,846,,,,,,,,,,,,,,,,,,,
2024-09-02 06:00,776,,,,,,,,,,,,,,,,,,,
2024-09-02 07:00,647,,,,,,,,,,,,,,,,,,,
2024-09-02 08:00,494,,,,,,,,,,,,,,,,,,,
2024-09-02 09:00,342,,,,,,,,,,,,,,,,,,,
2024-09-02 10:00,218,,,,,,,,,,,,,,,,,,,
2024-09-02 11:00,167,,,,,,,,,,,,,,,,,,,
2024-09-02 12:00,216,,,,,,,,,,,,,,,,,,,
2024-09-02 13:00,346,,,,,,,,,,,,,,,,,,,
2024-09-02 14:00,509,,,,,,,,,,,,,,,,,,,
2024-09-02 15:00,661,,,,,,,,,,,,,,,,,,,
2024-09-02 16:00,770,,,,,,,,,,,,,,,,,,,
2024-09-02 17:00,801,,,,,,,,,,,,,,,,,,,
2024-09-02 18:00,736,,,,,,,,,,,,,,,,,,,
2024-09-02 19:00,599,,,,,,,,,,,,,,,,,,,
2024-09-02 20:00,433,,,,,,,,,,,,,,,,,,,
2024-09-02 21:00,274,,,,,,,,,,,,,,,,,,,
2024-09-02 22:00,148,,,,,,,,,,,,,,,,,,,
2024-09-02 23:00,94,,,,,,,,,,,,,,,,,,,
2024-09-03 00:00,147,,,,,,,,,,,,,,,,,,,
2024-09-03 01:00,295,,,,,,,,,,,,,,,,,,,
2024-09-03 02:00,485,,,,,,,,,,,,,,,,,,,
2024-09-03 03:00,665,,,,,,,,,,,,,,,,,,,
2024-09-03 04:00,802,,,,,,,,,,,,,,,,,,,
2024-09-03 05:00,868,,,,,,,,,,,,,,,,,,,
2024-09-03 06:00,839,,,,,,,,,,,,,,,,,,,
2024-09-03 07:00,726,,,,,,,,,,,,,,,,,,,
2024-09-03 08:00,570,,,,,,,,,,,,,,,,,,,
2024-09-03 09:00,406,,,,,,,,,,,,,,,,,,,
2024-09-03 10:00,254,,,,,,,,,,,,,,,,,,,
2024-09-03 11:00,153,,,,,,,,,,,,,,,,,,,
2024-09-03 12:00,148,,,,,,,,,,,,,,,,,,,
2024-09-03 13:00,252,,,,,,,,,,,,,,,,,,,
2024-09-03 14:00,421,,,,,,,,,,,,,,,,,,,
2024-09-03 15:00,598,,,,,,,,,,,,,,,,,,,
2024-09-03 16:00,744,,,,,,,,,,,,,,,,,,,
2024-09-03 17:00,826,,,,,,,,,,,,,,,,,,,
2024-09-03 18:00,812,,,,,,,,,,,,,,,,,,,
2024-09-03 19:00,702,,,,,,,,,,,,,,,,,,,
2024-09-03 20:00,536,,,,,,,,,,,,,,,,,,,
2024-09-03 21:00,362,,,,,,,,,,,,,,,,,,,
2024-09-03 22:00,205,,,,,,,,,,,,,,,,,,,
2024-09-03 23:00,97,,,,,,,,,,,,,,,,,,,
2024-09-04 00:00,87,,,,,,,,,,,,,,,,,,,
2024-09-04 01:00,195,,,,,,,,,,,,,,,,,,,
2024-09-04 02:00,381,,,,,,,,,,,,,,,,,,,
2024-09-04 03:00,580,,,,,,,,,,,,,,,,,,,
2024-09-04 04:00,748,,,,,,,,,,,,,,,,,,,
2024-09-04 05:00,856,,,,,,,,,,,,,,,,,,,
2024-09-04 06:00,873,,,,,,,,,,,,,,,,,,,
2024-09-04 07:00,790,,,,,,,,,,,,,,,,,,,
2024-09-04 08:00,641,,,,,,,,,,,,,,,,,,,
2024-09-04 09:00,471,,,,,,,,,,,,,,,,,,,
2024-09-04 10:00,307,,,,,,,,,,,,,,,,,,,
2024-09-04 11:00,173,,,,,,,,,,,,,,,,,,,
2024-09-04 12:00,116,,,,,,,,,,,,,,,,,,,
2024-09-04 13:00,175,,,,,,,,,,,,,,,,,,,
2024-09-04 14:00,331,,,,,,,,,,,,,,,,,,,
2024-09-04 15:00,520,,,,,,,,,,,,,,,,,,,
2024-09-04 16:00,691,,,,,,,,,,,,,,,,,,,
2024-09-04 17:00,811,,,,,,,,,,,,,,,,,,,
2024-09-04 18:00,848,,,,,,,,,,,,,,,,,,,
2024-09-04 19:00,780,,,,,,,,,,,,,,,,,,,
2024-09-04 20:00,633,,,,,,,,,,,,,,,,,,,
2024-09-04 21:00,455,,,,,,,,,,,,,,,,,,,
2024-09-04 22:00,284,,,,,,,,,,,,,,,,,,,
2024-09-04 23:00,143,,,,,,,,,,,,,,,,,,,
2024-09-05 00:00,76,,,,,,,,,,,,,,,,,,,
2024-09-05 01:00,126,,,,,,,,,,,,,,,,,,,
2024-09-05 02:00,285,,,,,,,,,,,,,,,,,,,
2024-09-05 03:00,490,,,,,,,,,,,,,,,,,,,
2024-09-05 04:00,680,,,,,,,,,,,,,,,,,,,
2024-09-05 05:00,818,,,,,,,,,,,,,,,,,,,
2024-09-05 06:00,877,,,,,,,,,,,,,,,,,,,
2024-09-05 07:00,835,,,,,,,,,,,,,,,,,,,
2024-09-05 08:00,704,,,,,,,,,,,,,,,,,,,
2024-09-05 09:00,534,,,,,,,,,,,,,,,,,,,
2024-09-05 10:00,363,,,,,,,,,,,,,,,,,,,
2024-09-05 11:00,212,,,,,,,,,,,,,,,,,,,
2024-09-05 12:00,116,,,,,,,,,,,,,,,,,,,
2024-09-05 13:00,125,,,,,,,,,,,,,,,,,,,
2024-09-05 14:00,248,,,,,,,,,,,,,,,,,,,
2024-09-05 15:00,436,,,,,,,,,,,,,,,,,,,
2024-09-05 16:00,623,,,,,,,,,,,,,,,,,,,
2024-09-05 17:00,770,,,,,,,,,,,,,,,,,,,
2024-09-05 18:00,847,,,,,,,,,,,,,,,,,,,
2024-09-05 19:00,828,,,,,,,,,,,,,,,,,,,
2024-09-05 20:00,713,,,,,,,,,,,,,,,,,,,
2024-09-05 21:00,546,,,,,,,,,,,,,,,,,,,
2024-09-05 22:00,370,,,,,,,,,,,,,,,,,,,
2024-09-05 23:00,212,,,,,,,,,,,,,,,,,,,
2024-09-06 00:00,104,,,,,,,,,,,,,,,,,,,
2024-09-06 01:00,96,,,,,,,,,,,,,,,,,,,
2024-09-06 02:00,210,,,,,,,,,,,,,,,,,,,
2024-09-06 03:00,402,,,,,,,,,,,,,,,,,,,
2024-09-06 04:00,602,,,,,,,,,,,,,,,,,,,
2024-09-06 05:00,764,,,,,,,,,,,,,,,,,,,
2024-09-06 06:00,857,,,,,,,,,,,,,,,,,,,
2024-09-06 07:00,857,,,,,,,,,,,,,,,,,,,
2024-09-06 08:00,757,,,,,,,,,,,,,,,,,,,
2024-09-06 09:00,596,,,,,,,,,,,,,,,,,,,
2024-09-06 10:00,422,,,,,,,,,,,,,,,,,,,
2024-09-06 11:00,260,,,,,,,,,,,,,,,,,,,
2024-09-06 12:00,138,,,,,,,,,,,,,,,,,,,
2024-09-06 13:00,101,,,,,,,,,,,,,,,,,,,
2024-09-06 14:00,182,,,,,,,,,,,,,,,,,,,
2024-09-06 15:00,353,,,,,,,,,,,,,,,,,,,
2024-09-06 16:00,546,,,,,,,,,,,,,,,,,,,
2024-09-06 17:00,712,,,,,,,,,,,,,,,,,,,
2024-09-06 18:00,820,,,,,,,,,,,,,,,,,,,
2024-09-06 19:00,845,,,,,,,,,,,,,,,,,,,
2024-09-06 20:00,771,,,,,,,,,,,,,,,,,,,
2024-09-06 21:00,626,,,,,,,,,,,,,,,,,,,
2024-09-06 22:00,456,,,,,,,,,,,,,,,,,,,
2024-09-06 23:00,294,,,,,,,,,,,,,,,,,,,
2024-09-07 00:00,162,,,,,,,,,,,,,,,,,,,
2024-09-07 01:00,105,,,,,,,,,,,,,,,,,,,
2024-09-07 02:00,163,,,,,,,,,,,,,,,,,,,
2024-09-07 03:00,323,,,,,,,,,,,,,,,,,,,
2024-09-07 04:00,520,,,,,,,,,,,,,,,,,,,
2024-09-07 05:00,695,,,,,,,,,,,,,,,,,,,
2024-09-07 06:00,815,,,,,,,,,,,,,,,,,,,
2024-09-07 07:00,853,,,,,,,,,,,,,,,,,,,
2024-09-07 08:00,793,,,,,,,,,,,,,,,,,,,
2024-09-07 09:00,653,,,,,,,,,,,,,,,,,,,
2024-09-07 10:00,482,,,,,,,,,,,,,,,,,,,
2024-09-07 11:00,316,,,,,,,,,,,,,,,,,,,
2024-09-07 12:00,178,,,,,,,,,,,,,,,,,,,
2024-09-07 13:00,105,,,,,,,,,,,,,,,,,,,
2024-09-07 14:00,138,,,,,,,,,,,,,,,,,,,
2024-09-07 15:00,278,,,,,,,,,,,,,,,,,,,
2024-09-07 16:00,467,,,,,,,,,,,,,,,,,,,
2024-09-07 17:00,643,,,,,,,,,,,,,,,,,,,
2024-09-07 18:00,774,,,,,,,,,,,,,,,,,,,
2024-09-07 19:00,834,,,,,,,,,,,,,,,,,,,
2024-09-07 20:00,804,,,,,,,,,,,,,,,,,,,
2024-09-07 21:00,692,,,,,,,,,,,,,,,,,,,
2024-09-07 22:00,537,,,,,,,,,,,,,,,,,,,
2024-09-07 23:00,378,,,,,,,,,,,,,,,,,,,
2024-09-08 00:00,238,,,,,,,,,,,,,,,,,,,
2024-09-08 01:00,147,,,,,,,,,,,,,,,,,,,
2024-09-08 02:00,151,,,,,,,,,,,,,,,,,,,
2024-09-08 03:00,264,,,,,,,,,,,,,,,,,,,
2024-09-08 04:00,441,,,,,,,,,,,,,,,,,,,
2024-09-08 05:00,618,,,,,,,,,,,,,,,,,,,
2024-09-08 06:00,753,,,,,,,,,,,,,,,,,,,
2024-09-08 07:00,822,,,,,,,,,,,,,,,,,,,
2024-09-08 08:00,804,,,,,,,,,,,,,,,,,,,
2024-09-08 09:00,697,,,,,,,,,,,,,,,,,,,
2024-09-08 10:00,540,,,,,,,,,,,,,,,,,,,
2024-09-08 11:00,377,,,,,,,,,,,,,,,,,,,
2024-09-08 12:00,233,,,,,,,,,,,,,,,,,,,
2024-09-08 13:00,134,,,,,,,,,,,,,,,,,,,
2024-09-08 14:00,122,,,,,,,,,,,,,,,,,,,
2024-09-08 15:00,218,,,,,,,,,,,,,,,,,,,
2024-09-08 16:00,388,,,,,,,,,,,,,,,,,,,
2024-09-08 17:00,567,,,,,,,,,,,,,,,,,,,
2024-09-08 18:00,711,,,,,,,,,,,,,,,,,,,
2024-09-08 19:00,799,,,,,,,,,,,,,,,,,,,
2024-09-08 20:00,810,,,,,,,,,,,,,,,,,,,
2024-09-08 21:00,738,,,,,,,,,,,,,,,,,,,
2024-09-08 22:00,608,,,,,,,,,,,,,,,,,,,
2024-09-08 23:00,461,,,,,,,,,,,,,,,,,,,
2024-09-09 00:00,324,,,,,,,,,,,,,,,,,,,
2024-09-09 01:00,217,,,,,,,,,,,,,,,,,,,
2024-09-09 02:00,177,,,,,,,,,,,,,,,,,,,
2024-09-09 03:00,236,,,,,,,,,,,,,,,,,,,
2024-09-09 04:00,375,,,,,,,,,,,,,,,,,,,
2024-09-09 05:00,538,,,,,,,,,,,,,,,,,,,
2024-09-09 06:00,676,,,,,,,,,,,,,,,,,,,
2024-09-09 07:00,765,,,,,,,,,,,,,,,,,,,
2024-09-09 08:00,784,,,,,,,,,,,,,,,,,,,
2024-09-09 09:00,720,,,,,,,,,,,,,,,,,,,
2024-09-09 10:00,591,,,,,,,,,,,,,,,,,,,
2024-09-09 11:00,439,,,,,,,,,,,,,,,,,,,
2024-09-09 12:00,297,,,,,,,,,,,,,,,,,,,
2024-09-09 13:00,186,,,,,,,,,,,,,,,,,,,
2024-09-09 14:00,138,,,,,,,,,,,,,,,,,,,
2024-09-09 15:00,184,,,,,,,,,,,,,,,,,,,
2024-09-09 16:00,316,,,,,,,,,,,,,,,,,,,
2024-09-09 17:00,483,,,,,,,,,,,,,,,,,,,
2024-09-09 18:00,634,,,,,,,,,,,,,,,,,,,
2024-09-09 19:00,741,,,,,,,,,,,,,,,,,,,
2024-09-09 20:00,787,,,,,,,,,,,,,,,,,,,
2024-09-09 21:00,759,,,,,,,,,,,,,,,,,,,
2024-09-09 22:00,666,,,,,,,,,,,,,,,,,,,
2024-09-09 23:00,539,,,,,,,,,,,,,,,,,,,
2024-09-10 00:00,413,,,,,,,,,,,,,,,,,,,
2024-09-10 01:00,304,,,,,,,,,,,,,,,,,,,
2024-09-10 02:00,238,,,,,,,,,,,,,,,,,,,
2024-09-10 03:00,245,,,,,,,,,,,,,,,,,,,
2024-09-10 04:00,333,,,,,,,,,,,,,,,,,,,
2024-09-10 05:00,465,,,,,,,,,,,,,,,,,,,
2024-09-10 06:00,594,,,,,,,,,,,,,,,,,,,
2024-09-10 07:00,689,,,,,,,,,,,,,,,,,,,
2024-09-10 08:00,734,,,,,,,,,,,,,,,,,,,
2024-09-10 09:00,712,,,,,,,,,,,,,,,,,,,
2024-09-10 10:00,625,,,,,,,,,,,,,,,,,,,
2024-09-10 11:00,498,,,,,,,,,,,,,,,,,,,
2024-09-10 12:00,367,,,,,,,,,,,,,,,,,,,
2024-09-10 13:00,256,,,,,,,,,,,,,,,,,,,
2024-09-10 14:00,185,,,,,,,,,,,,,,,,,,,
2024-09-10 15:00,183,,,,,,,,,,,,,,,,,,,
2024-09-10 16:00,263,,,,,,,,,,,,,,,,,,,
2024-09-10 17:00,398,,,,,,,,,,,,,,,,,,,
2024-09-10 18:00,542,,,,,,,,,,,,,,,,,,,
2024-09-10 19:00,659,,,,,,,,,,,,,,,,,,,
2024-09-10 20:00,733,,,,,,,,,,,,,,,,,,,
2024-09-10 21:00,748,,,,,,,,,,,,,,,,,,,
2024-09-10 22:00,701,,,,,,,,,,,,,,,,,,,
2024-09-10 23:00,609,,,,,,,,,,,,,,,,,,,
2024-09-11 00:00,502,,,,,,,,,,,,,,,,,,,
2024-09-11 01:00,401,,,,,,,,,,,,,,,,,,,
2024-09-11 02:00,324,,,,,,,,,,,,,,,,,,,
2024-09-11 03:00,294,,,,,,,,,,,,,,,,,,,
2024-09-11 04:00,326,,,,,,,,,,,,,,,,,,,
2024-09-11 05:00,411,,,,,,,,,,,,,,,,,,,
2024-09-11 06:00,513,,,,,,,,,,,,,,,,,,,
2024-09-11 07:00,602,,,,,,,,,,,,,,,,,,,
2024-09-11 08:00,659,,,,,,,,,,,,,,,,,,,
2024-09-11 09:00,672,,,,,,,,,,,,,,,,,,,
2024-09-11 10:00,632,,,,,,,,,,,,,,,,,,,
2024-09-11 11:00,547,,,,,,,,,,,,,,,,,,,
2024-09-11 12:00,442,,,,,,,,,,,,,,,,,,,
2024-09-11 13:00,339,,,,,,,,,,,,,,,,,,,
2024-09-11 14:00,259,,,,,,,,,,,,,,,,,,,
2024-09-11 15:00,222,,,,,,,,,,,,,,,,,,,
2024-09-11 16:00,245,,,,,,,,,,,,,,,,,,,
2024-09-11 17:00,327,,,,,,,,,,,,,,,,,,,
2024-09-11 18:00,441,,,,,,,,,,,,,,,,,,,
2024-09-11 19:00,554,,,,,,,,,,,,,,,,,,,
2024-09-11 20:00,643,,,,,,,,,,,,,,,,,,,
2024-09-11 21:00,696,,,,,,,,,,,,,,,,,,,
2024-09-11 22:00,699,,,,,,,,,,,,,,,,,,,
2024-09-11 23:00,657,,,,,,,,,,,,,,,,,,,
2024-09-12 00:00,585,,,,,,,,,,,,,,,,,,,
2024-09-12 01:00,503,,,,,,,,,,,,,,,,,,,
2024-09-12 02:00,429,,,,,,,,,,,,,,,,,,,
2024-09-12 03:00,376,,,,,,,,,,,,,,,,,,,
2024-09-12 04:00,361,,,,,,,,,,,,,,,,,,,
2024-09-12 05:00,389,,,,,,,,,,,,,,,,,,,
2024-09-12 06:00,446,,,,,,,,,,,,,,,,,,,
2024-09-12 07:00,511,,,,,,,,,,,,,,,,,,,
2024-09-12 08:00,567,,,,,,,,,,,,,,,,,,,
2024-09-12 09:00,601,,,,,,,,,,,,,,,,,,,
2024-09-12 10:00,604,,,,,,,,,,,,,,,,,,,
2024-09-12 11:00,571,,,,,,,,,,,,,,,,,,,
2024-09-12 12:00,509,,,,,,,,,,,,,,,,,,,
2024-09-12 13:00,433,,,,,,,,,,,,,,,,,,,
2024-09-12 14:00,357,,,,,,,,,,,,,,,,,,,
2024-09-12 15:00,299,,,,,,,,,,,,,,,,,,,
2024-09-12 16:00,273,,,,,,,,,,,,,,,,,,,
2024-09-12 17:00,292,,,,,,,,,,,,,,,,,,,
2024-09-12 18:00,351,,,,,,,,,,,,,,,,,,,
2024-09-12 19:00,433,,,,,,,,,,,,,,,,,,,
2024-09-12 20:00,522,,,,,,,,,,,,,,,,,,,
2024-09-12 21:00,598,,,,,,,,,,,,,,,,,,,
2024-09-12 22:00,649,,,,,,,,,,,,,,,,,,,
2024-09-12 23:00,665,,,,,,,,,,,,,,,,,,,
2024-09-13 00:00,646,,,,,,,,,,,,,,,,,,,
2024-09-13 01:00,602,,,,,,,,,,,,,,,,,,,
2024-09-13 02:00,543,,,,,,,,,,,,,,,,,,,
2024-09-13 03:00,484,,,,,,,,,,,,,,,,,,,
2024-09-13 04:00,436,,,,,,,,,,,,,,,,,,,
2024-09-13 05:00,411,,,,,,,,,,,,,,,,,,,
2024-09-13 06:00,411,,,,,,,,,,,,,,,,,,,
2024-09-13 07:00,431,,,,,,,,,,,,,,,,,,,
2024-09-13 08:00,466,,,,,,,,,,,,,,,,,,,
2024-09-13 09:00,505,,,,,,,,,,,,,,,,,,,
2024-09-13 10:00,539,,,,,,,,,,,,,,,,,,,
2024-09-13 11:00,557,,,,,,,,,,,,,,,,,,,
2024-09-13 12:00,552,,,,,,,,,,,,,,,,,,,
2024-09-13 13:00,523,,,,,,,,,,,,,,,,,,,
2024-09-13 14:00,472,,,,,,,,,,,,,,,,,,,
2024-09-13 15:00,410,,,,,,,,,,,,,,,,,,,
2024-09-13 16:00,351,,,,,,,,,,,,,,,,,,,
2024-09-13 17:00,311,,,,,,,,,,,,,,,,,,,
2024-09-13 18:00,301,,,,,,,,,,,,,,,,,,,
2024-09-13 19:00,326,,,,,,,,,,,,,,,,,,,
2024-09-13 20:00,382,,,,,,,,,,,,,,,,,,,
2024-09-13 21:00,461,,,,,,,,,,,,,,,,,,,
2024-09-13 22:00,544,,,,,,,,,,,,,,,,,,,
2024-09-13 23:00,616,,,,,,,,,,,,,,,,,,,
2024-09-14 00:00,661,,,,,,,,,,,,,,,,,,,
2024-09-14 01:00,675,,,,,,,,,,,,,,,,,,,
2024-09-14 02:00,655,,,,,,,,,,,,,,,,,,,
2024-09-14 03:00,607,,,,,,,,,,,,,,,,,,,
2024-09-14 04:00,544,,,,,,,,,,,,,,,,,,,
2024-09-14 05:00,479,,,,,,,,,,,,,,,,,,,
2024-09-14 06:00,422,,,,,,,,,,,,,,,,,,,
2024-09-14 07:00,384,,,,,,,,,,,,,,,,,,,
2024-09-14 08:00,374,,,,,,,,,,,,,,,,,,,
2024-09-14 09:00,394,,,,,,,,,,,,,,,,,,,
2024-09-14 10:00,439,,,,,,,,,,,,,,,,,,,
2024-09-14 11:00,498,,,,,,,,,,,,,,,,,,,
2024-09-14 12:00,551,,,,,,,,,,,,,,,,,,,
2024-09-14 13:00,583,,,,,,,,,,,,,,,,,,,
2024-09-14 14:00,582,,,,,,,,,,,,,,,,,,,
2024-09-14 15:00,543,,,,,,,,,,,,,,,,,,,
2024-09-14 16:00,474,,,,,,,,,,,,,,,,,,,
2024-09-14 17:00,391,,,,,,,,,,,,,,,,,,,
2024-09-14 18:00,316,,,,,,,,,,,,,,,,,,,
2024-09-14 19:00,268,,,,,,,,,,,,,,,,,,,
2024-09-14 20:00,262,,,,,,,,,,,,,,,,,,,
2024-09-14 21:00,305,,,,,,,,,,,,,,,,,,,
2024-09-14 22:00,392,,,,,,,,,,,,,,,,,,,
2024-09-14 23:00,503,,,,,,,,,,,,,,,,,,,
2024-09-15 00:00,612,,,,,,,,,,,,,,,,,,,
2024-09-15 01:00,694,,,,,,,,,,,,,,,,,,,
2024-09-15 02:00,736,,,,,,,,,,,,,,,,,,,
2024-09-15 03:00,728,,,,,,,,,,,,,,,,,,,
2024-09-15 04:00,673,,,,,,,,,,,,,,,,,,,
2024-09-15 05:00,585,,,,,,,,,,,,,,,,,,,
2024-09-15 06:00,484,,,,,,,,,,,,,,,,,,,
2024-09-15 07:00,389,,,,,,,,,,,,,,,,,,,
2024-09-15 08:00,318,,,,,,,,,,,,,,,,,,,
2024-09-15 09:00,290,,,,,,,,,,,,,,,,,,,
2024-09-15 10:00,317,,,,,,,,,,,,,,,,,,,
2024-09-15 11:00,393,,,,,,,,,,,,,,,,,,,
2024-09-15 12:00,493,,,,,,,,,,,,,,,,,,,
2024-09-15 13:00,590,,,,,,,,,,,,,,,,,,,
2024-09-15 14:00,655,,,,,,,,,,,,,,,,,,,
2024-09-15 15:00,670,,,,,,,,,,,,,,,,,,,
2024-09-15 16:00,622,,,,,,,,,,,,,,,,,,,
2024-09-15 17:00,524,,,,,,,,,,,,,,,,,,,
2024-09-15 18:00,402,,,,,,,,,,,,,,,,,,,
2024-09-15 19:00,286,,,,,,,,,,,,,,,,,,,
